,ids,team
35006,Hungary1993-03-10United States,Hungary
35007,Hungary1993-03-10United States,United States
35008,San Marino1993-03-10Turkey,San Marino
35009,San Marino1993-03-10Turkey,Turkey
35010,Canada1993-03-11South Korea,Canada
35011,Canada1993-03-11South Korea,South Korea
35012,Guyana1993-03-11Cayman Islands,Guyana
35013,Guyana1993-03-11Cayman Islands,Cayman Islands
35014,Puerto Rico1993-03-11Barbados,Puerto Rico
35015,Puerto Rico1993-03-11Barbados,Barbados
35016,Cayman Islands1993-03-12Barbados,Cayman Islands
35017,Cayman Islands1993-03-12Barbados,Barbados
35018,El Salvador1993-03-12Bolivia,El Salvador
35019,El Salvador1993-03-12Bolivia,Bolivia
35020,Guyana1993-03-12Puerto Rico,Guyana
35021,Guyana1993-03-12Puerto Rico,Puerto Rico
35022,Qatar1993-03-12Jordan,Qatar
35023,Qatar1993-03-12Jordan,Jordan
35024,Guyana1993-03-14Barbados,Guyana
35025,Guyana1993-03-14Barbados,Barbados
35026,Honduras1993-03-14Bolivia,Honduras
35027,Honduras1993-03-14Bolivia,Bolivia
35028,Japan1993-03-14United States,Japan
35029,Japan1993-03-14United States,United States
35030,Puerto Rico1993-03-14Cayman Islands,Puerto Rico
35031,Puerto Rico1993-03-14Cayman Islands,Cayman Islands
35032,Honduras1993-03-16Bolivia,Honduras
35033,Honduras1993-03-16Bolivia,Bolivia
35034,Kuwait1993-03-16Syria,Kuwait
35035,Kuwait1993-03-16Syria,Syria
35036,Brazil1993-03-17Poland,Brazil
35037,Brazil1993-03-17Poland,Poland
35038,Tunisia1993-03-17Switzerland,Tunisia
35039,Tunisia1993-03-17Switzerland,Switzerland
35040,El Salvador1993-03-23United States,El Salvador
35041,El Salvador1993-03-23United States,United States
35042,Costa Rica1993-03-24Canada,Costa Rica
35043,Costa Rica1993-03-24Canada,Canada
35044,Cyprus1993-03-24Czech Republic,Cyprus
35045,Cyprus1993-03-24Czech Republic,Czech Republic
35046,French Guiana1993-03-24Guadeloupe,French Guiana
35047,French Guiana1993-03-24Guadeloupe,Guadeloupe
35048,Israel1993-03-24Russia,Israel
35049,Israel1993-03-24Russia,Russia
35050,Italy1993-03-24Malta,Italy
35051,Italy1993-03-24Malta,Malta
35052,Netherlands1993-03-24San Marino,Netherlands
35053,Netherlands1993-03-24San Marino,San Marino
35054,Scotland1993-03-24Germany,Scotland
35055,Scotland1993-03-24Germany,Germany
35056,Honduras1993-03-25United States,Honduras
35057,Honduras1993-03-25United States,United States
35058,Lebanon1993-03-26Jordan,Lebanon
35059,Lebanon1993-03-26Jordan,Jordan
35060,Austria1993-03-27France,Austria
35061,Austria1993-03-27France,France
35062,Malawi1993-03-27Zambia,Malawi
35063,Malawi1993-03-27Zambia,Zambia
35064,Qatar1993-03-30Norway,Qatar
35065,Qatar1993-03-30Norway,Norway
35066,Slovakia1993-03-30Lithuania,Slovakia
35067,Slovakia1993-03-30Lithuania,Lithuania
35068,Chile1993-03-31Bolivia,Chile
35069,Chile1993-03-31Bolivia,Bolivia
35070,Colombia1993-03-31Costa Rica,Colombia
35071,Colombia1993-03-31Costa Rica,Costa Rica
35072,Denmark1993-03-31Spain,Denmark
35073,Denmark1993-03-31Spain,Spain
35074,Hungary1993-03-31Greece,Hungary
35075,Hungary1993-03-31Greece,Greece
35076,Republic of Ireland1993-03-31Northern Ireland,Republic of Ireland
35077,Republic of Ireland1993-03-31Northern Ireland,Northern Ireland
35078,Poland1993-03-31Lithuania,Poland
